State,Action,QValue
HPState: 1; ManaState: 7; LevelState: 2,GetHealthPotion(HealthPotion1),-0.14475
HPState: 1; ManaState: 7; LevelState: 2,DivineSmite(Skelleton3),-4.60765
HPState: 1; ManaState: 7; LevelState: 2,PickUpChest(Chest0),-5.748588
HPState: 1; ManaState: 7; LevelState: 2,PickUpChest(Chest2),-4.492133
HPState: 1; ManaState: 7; LevelState: 2,SwordAttack(Skelleton0),-5.095
HPState: 1; ManaState: 7; LevelState: 2,LevelUp,-5.158877
HPState: 1; ManaState: 7; LevelState: 2,SwordAttack(Orc1),-18.33982
HPState: 1; ManaState: 7; LevelState: 2,GetHealthPotion(HealthPotion0),-8.983089
HPState: 1; ManaState: 7; LevelState: 2,DivineSmite(Skelleton0),-5.49877
HPState: 1; ManaState: 7; LevelState: 2,SwordAttack(Orc2),-5.055
HPState: 1; ManaState: 7; LevelState: 2,DivineSmite(Skelleton4),-5.203095
HPState: 1; ManaState: 7; LevelState: 2,GetManaPotion(ManaPotion1),0.06195914
HPState: 1; ManaState: 7; LevelState: 2,DivineSmite(Skelleton1),-0.3477367
HPState: 1; ManaState: 7; LevelState: 2,DivineSmite(Skelleton2),-0.1703196
HPState: 13; ManaState: 7; LevelState: 1,PickUpChest(Chest0),-0.2279199
